ENTREZID,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
17319,Mif,macrophage migration inhibitory factor (glycosylation-inhibiting factor),6.25883090714176,3.56627798752238,27.9489003886486,1.64173397321104e-169,2.24539955516074e-165,375.59101365816
54123,Irf7,interferon regulatory factor 7,-2.6803755719105,5.02900444490514,-25.5219972750926,8.91444731182633e-106,6.09614479419244e-102,230.192082433418
69550,Bst2,bone marrow stromal cell antigen 2,-1.8456828168035,6.66145448552215,-20.5869020862174,6.59558492710622e-93,3.00692716826773e-89,200.861676205854
14165,Fgf10,fibroblast growth factor 10,2.08183833063623,5.06955198750259,19.8764121146967,2.69461146253499e-87,9.21355024327276e-84,189.320671802702
246728,Oas2,2'-5' oligoadenylate synthetase 2,-3.20094748567112,3.35115717722961,-21.7606738499179,2.38567791691134e-82,6.52578337391928e-79,175.977912432101
76933,Ifi27l2a,"interferon, alpha-inducible protein 27 like 2A",-2.18668944290998,4.17773052118528,-18.9882287569429,3.26234057656402e-79,7.43650534427769e-76,169.361773988047
231655,Oasl1,2'-5' oligoadenylate synthetase-like 1,-2.85165965435378,2.76360555479868,-17.5252095584169,2.17698881399895e-68,4.25352514415194e-65,144.965320654933
624784,Tdg-ps2,"thymine DNA glycosylase, pseudogene 2",-6.19053801281951,1.23537834504355,-17.5129505869353,2.69396223600003e-68,4.60566518772155e-65,139.256135764026
246730,Oas1a,2'-5' oligoadenylate synthetase 1A,-2.80338952369846,2.68245304521217,-16.911757249111,7.78377931306577e-64,1.18287499627556e-60,134.481316893864
60440,Iigp1,interferon inducible GTPase 1,-2.85964449737169,2.93078228023459,-18.1700878746461,6.28814368569083e-62,8.60029411891935e-59,129.520632645798
246727,Oas3,2'-5' oligoadenylate synthetase 3,-3.25532187710873,2.52626615041796,-17.8195110188775,1.92348353131485e-58,2.39158947798119e-55,121.198707005987
12266,C3,complement component 3,1.59222206839747,5.31639951075481,15.9234397781114,7.84967362120891e-57,8.94666550977285e-54,118.911955517834
24110,Usp18,ubiquitin specific peptidase 18,-3.27447270533713,3.19802961710012,-20.8951280029638,9.93822560199646e-57,1.04557778121927e-53,117.615968776535
21810,Tgfbi,"transforming growth factor, beta induced",-1.83346483598451,3.99870852714726,-15.682891655436,3.44627356320448e-55,3.36676310885341e-52,115.085398037442
58185,Rsad2,radical S-adenosyl methionine domain containing 2,-3.0774477156047,2.04964359711143,-15.2757649005948,1.82801628511252e-52,1.6667852487656e-49,107.513201473108
219132,Phf11d,PHD finger protein 11D,-2.03541295159824,3.54761304174314,-15.7761516359642,2.51789701334618e-51,2.15232984072098e-48,105.739942356621
672511,Rnf213,ring finger protein 213,-1.29187212280255,7.29399309139315,-14.7737416645144,4.31615412104317e-49,3.47247293608867e-46,100.644231248064
23962,Oasl2,2'-5' oligoadenylate synthetase-like 2,-2.23466973295949,5.44292692336364,-21.3342092154835,1.03903223358017e-44,7.89491325482003e-42,91.183136484696
54396,Irgm2,immunity-related GTPase family M member 2,-1.43144333989357,4.76537503043408,-13.8019899296336,6.42340739721773e-42,4.62383910377616e-39,84.3383027034811
16145,Igtp,interferon gamma induced GTPase,-1.66342897615821,3.7096945880546,-13.5936997464394,1.25551316098181e-41,8.58582675137412e-39,83.6456347679579
547127,Tmem181b-ps,"transmembrane protein 181B, pseudogene",1.89565483214807,3.32219755034151,13.3839465234419,1.01454829908253e-40,6.60760813645321e-38,81.5208736558909
80861,Dhx58,DEXH (Asp-Glu-X-His) box polypeptide 58,-1.57334863102246,3.95335245148165,-13.4304294119659,6.69057347639266e-40,4.15940788348283e-37,79.7418402432133
667370,Ifit3b,interferon-induced protein with tetratricopeptide repeats 3B,-2.58976203039674,1.97449829136698,-13.1387318204393,8.3888747362951e-39,4.98846259862209e-36,76.8091273964758
12778,Ackr3,atypical chemokine receptor 3,1.23155845183347,5.5329010206416,12.7032823858781,8.46961388927879e-37,4.82662121515275e-34,72.6223318194657
16913,Psmb8,"proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)",-1.40840163349979,4.08005766764923,-12.3641689920027,5.06666837736581e-35,2.77187293588929e-32,68.8219079904273
18115,Nnt,nicotinamide nucleotide transhydrogenase,1.15141820945382,5.95064446740735,12.3189394220724,8.85864279670308e-35,4.65998682809646e-32,68.2108363731595
18164,Nptx1,neuronal pentraxin 1,-1.6962784401671,3.16529799093433,-12.3642852569359,3.13073098111239e-34,1.58588917143238e-31,66.8285567763011
22169,Cmpk2,"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial",-2.44179790309257,2.08580679954549,-12.8447661949336,5.18821774302961e-34,2.53425907397914e-31,66.1196272939481
68852,Lrrn4cl,LRRN4 C-terminal like,1.05471642581065,8.64689795242411,12.1327587474344,8.65037689500461e-34,4.07969671699925e-31,65.909220328819
15015,H2-Q4,"histocompatibility 2, Q region locus 4",-1.51483278002165,3.55279814455934,-12.0926253328068,1.40747871873201e-33,6.41669547869922e-31,65.5280652107234
327959,Xaf1,XIAP associated factor 1,-1.56256478379807,3.74799413523046,-12.7572257920672,1.58712087644243e-33,7.00227491196875e-31,65.3201869564632
66175,Mustn1,"musculoskeletal, embryonic nuclear protein 1",1.94898890217554,2.70797298274569,11.7083337003874,1.37439093154601e-31,5.87423274086088e-29,60.9108240539183
54131,Irf3,interferon regulatory factor 3,-1.16781760431598,5.00114080253369,-11.6423172890169,2.97575592011234e-31,1.23331556725383e-28,60.1666226500281
235505,Cd109,CD109 antigen,1.02209604902629,7.08369729410685,11.5793872868623,6.18979166406542e-31,2.48993472321832e-28,59.378566944891
